FamilyID,SNR_dB,Metric,MetricLabel,MethodA,MethodB,MedianDelta_AminusB_Raw,RawMedianCI95_Low,RawMedianCI95_High,MedianDelta_Oriented,OrientedMedianCI95_Low,OrientedMedianCI95_High,P_Wilcoxon_Raw,RankBiserial,Seeds_A_Better,Seeds_B_Better,Seeds_Tied,P_Wilcoxon_Holm15,Significant_Holm15,P_Wilcoxon_Holm375,Significant_Holm375,OmnibusSignificant_Holm25,PrimaryPairwiseSignificant
9,10,CNR,CNR,DAS,DMAS,1.46747415810408,1.42908252378674,1.52032649732524,1.46747415810408,1.42908252378674,1.52032649732524,7.55692945586362e-10,1,50,0,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
9,10,CNR,CNR,DAS,DS-DMAS,1.7457990976606,1.71613441919497,1.78374664414351,1.7457990976606,1.71613441919497,1.78374664414351,7.55692945586362e-10,1,50,0,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
9,10,CNR,CNR,DAS,TR,-0.138517580596865,-0.17159084868068,-0.108822208673525,-0.138517580596865,-0.17159084868068,-0.108822208673525,4.77832968196266e-09,-0.951372549019608,5,45,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
9,10,CNR,CNR,CF-DAS,SCF-DAS,0.74200379068325,0.724929232929019,0.779259610779351,0.74200379068325,0.724929232929019,0.779259610779351,7.55692945586362e-10,1,50,0,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
9,10,CNR,CNR,CF-DAS,DMAS,0.396744598229432,0.37053200298876,0.408597482519201,0.396744598229432,0.37053200298876,0.408597482519201,7.55692945586362e-10,1,50,0,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
9,10,CNR,CNR,CF-DAS,DS-DMAS,0.653335444861884,0.635841098971381,0.701990181605187,0.653335444861884,0.635841098971381,0.701990181605187,7.55692945586362e-10,1,50,0,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
9,10,CNR,CNR,CF-DAS,TR,-1.22807607279863,-1.26237426274545,-1.19144141753329,-1.22807607279863,-1.26237426274545,-1.19144141753329,7.55692945586362e-10,-1,0,50,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
9,10,CNR,CNR,SCF-DAS,DMAS,-0.355416668065808,-0.37419579578666,-0.329840964729115,-0.355416668065808,-0.37419579578666,-0.329840964729115,7.55692945586362e-10,-1,0,50,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
9,10,CNR,CNR,SCF-DAS,DS-DMAS,-0.085147819697556,-0.087462938641776,-0.082080346078002,-0.085147819697556,-0.087462938641776,-0.082080346078002,7.55692945586362e-10,-1,0,50,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
9,10,CNR,CNR,SCF-DAS,TR,-1.97832302112978,-1.98646983863992,-1.96972428353687,-1.97832302112978,-1.98646983863992,-1.96972428353687,7.55692945586362e-10,-1,0,50,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
9,10,CNR,CNR,DMAS,DS-DMAS,0.279277558733193,0.24750281608567,0.291357252711531,0.279277558733193,0.24750281608567,0.291357252711531,7.55692945586362e-10,1,50,0,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
9,10,CNR,CNR,DMAS,TR,-1.60905710759259,-1.64635167746763,-1.59426113177606,-1.60905710759259,-1.64635167746763,-1.59426113177606,7.55692945586362e-10,-1,0,50,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
9,10,CNR,CNR,DS-DMAS,TR,-1.89232646161022,-1.89947119826547,-1.88485170678576,-1.89232646161022,-1.89947119826547,-1.88485170678576,7.55692945586362e-10,-1,0,50,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
